AccXangle 	 AccYangle
2.948695 	 -7.511279
2.936629 	 -8.558867
2.959440 	 -8.253673
3.064144 	 -8.255796
2.918702 	 -8.407232
3.008672 	 -8.409397
2.970419 	 -7.671756
2.952280 	 -7.988419
2.988286 	 -8.148551
2.940465 	 -7.565686
3.091868 	 -7.283536
3.054864 	 -6.690760
2.960982 	 -7.398851
2.959440 	 -6.964437
2.952280 	 -7.270350
3.003974 	 -6.676929
2.857369 	 -6.530936
2.937713 	 -5.798913
3.083003 	 -6.254744
3.019604 	 -7.253466
2.899302 	 -6.387430
3.055394 	 -5.221054
3.025906 	 -5.681322
2.895534 	 -7.526744
3.041380 	 -6.086733
5.215643 	 -7.180220
3.121900 	 -4.943983
3.140135 	 -5.502263
3.086984 	 -2.026764
3.048273 	 -5.352792
3.073036 	 -6.348040
3.061456 	 -4.630441
2.968270 	 -6.201717
3.086186 	 -7.058870
3.059872 	 -6.637479
3.057499 	 -5.486683
3.049852 	 -2.176467
3.092579 	 -4.055799
3.063836 	 -5.498005
3.011713 	 -4.765872
3.041970 	 -6.201717
3.023324 	 -6.050800
3.069861 	 -4.908333
3.030364 	 -5.203558
3.074626 	 -6.208096
3.060664 	 -5.348653
3.054341 	 -5.050658
3.088580 	 -6.206501
3.133637 	 -5.634503
3.029580 	 -5.345897
3.087782 	 -5.918402
3.026449 	 -5.483859
3.082203 	 -5.334901
3.100923 	 -6.773485
3.061456 	 -6.354571
3.090179 	 -4.773252
3.088580 	 -5.345897
3.034129 	 -6.043045
3.078231 	 -6.613693
3.062741 	 -6.326906
3.042757 	 -6.203311
3.013270 	 -6.060133
3.097721 	 -6.052353
3.093728 	 -5.329420
3.023324 	 -6.479446
2.963673 	 -5.046761
3.062741 	 -5.612821
3.055919 	 -5.483859
3.072242 	 -6.060133
3.023324 	 -5.764655
3.096922 	 -5.334901
2.949716 	 -6.622169
3.038829 	 -6.195350
2.980699 	 -6.910904
3.105229 	 -5.895654
2.938787 	 -4.910862
3.174606 	 -6.201717
3.068276 	 -6.481107
3.055130 	 -5.769101
3.050402 	 -5.330789
3.003177 	 -5.611381
3.108431 	 -6.615387
3.026449 	 -6.057019
2.990023 	 -5.757262
2.871651 	 -2.308838
3.009380 	 -5.479630
2.959854 	 -5.898677
2.977623 	 -6.047695
3.108431 	 -5.758739
3.037260 	 -5.476814
3.036477 	 -6.047695
3.059081 	 -5.776525
3.034911 	 -5.615702
3.034911 	 -5.472595
3.032565 	 -5.754309
2.988482 	 -5.754309
3.031003 	 -5.322585
2.942879 	 -5.465578
3.106829 	 -6.184239
2.970725 	 -6.603551
3.048830 	 -5.757262
3.056709 	 -5.772068
3.048830 	 -6.043045
3.075852 	 -6.038401
3.069861 	 -6.341522
2.979930 	 -5.909282
3.029580 	 -5.919925
3.011713 	 -5.913839
3.038829 	 -5.766136
3.050402 	 -6.188996
3.003951 	 -6.041496
3.069068 	 -6.482770
3.082203 	 -5.764655
3.090179 	 -6.352937
3.008603 	 -6.193760
2.978392 	 -5.620029
3.005500 	 -6.187410
3.002404 	 -6.608618
3.065111 	 -5.760217
3.005500 	 -6.615387
3.020985 	 -6.046144
3.030223 	 -6.605239
2.974554 	 -7.039023
3.034911 	 -6.330148
3.055130 	 -6.770012
3.041970 	 -5.915359
2.692297 	 -3.765017
2.641980 	 -1.912294
3.384223 	 -2.595732
3.112443 	 -4.330993
2.923289 	 -3.902322
3.001630 	 -1.586550
2.823759 	 -3.907364
2.858422 	 -6.044594
2.910054 	 -3.904338
2.993110 	 -5.046761
2.910054 	 -4.336581
3.055654 	 -3.739872
2.980036 	 -4.166744
3.055130 	 -4.620896
2.993882 	 -5.764655
3.088580 	 -4.914661
3.029718 	 -5.227814
2.802215 	 -6.082022
1.482351 	 -7.794686
2.859897 	 -3.320464
3.535435 	 -2.030442
6.814689 	 -1.894854
2.730871 	 -10.391765
3.865420 	 3.518899
2.625846 	 -9.994586
3.524488 	 7.322916
3.025786 	 -7.376015
7.369780 	 0.593632
2.411171 	 -0.291770
3.195818 	 -1.732485
2.371619 	 -6.288254
2.097495 	 -8.981922
2.462400 	 0.294293
1.552585 	 -1.382713
-2.695187 	 -10.545750
-2.110999 	 -13.892449
-1.125380 	 7.441095
7.480260 	 11.674762
9.337932 	 -6.428981
0.691974 	 -12.765354
0.791755 	 -0.574534
